capture_id,window_idx,is_full_session,pkt_count,byte_count,duration_sec,byte_rate,pkt_rate,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_median,pkt_len_q05,pkt_len_q10,pkt_len_q25,pkt_len_q75,pkt_len_q90,pkt_len_q95,pkt_len_skew,pkt_len_kurtosis,pkt_len_entropy,pkt_len_autocorr,iat_mean,iat_std,iat_min,iat_max,iat_q10,iat_q25,iat_q50,iat_q75,iat_q90,iat_entropy,burstiness_coeff,idle_ratio,burst_count,burst_mean_pkts,fwd_pkt_ratio,fwd_byte_ratio,bwd_pkt_ratio,bwd_byte_ratio,fwd_bwd_iat_ratio,fwd_bwd_byte_skew,small_pkt_ratio,med_pkt_ratio,large_pkt_ratio,bimodal_index,tcp_like_ack_ratio,mtu_saturation_ratio,esp_spi_count,seq_gap_rate,label_class,label_mode,label_ike,label_crypto,label_nist,is_mixed
exp_001_voip_tunnel_aes_gcm_16_256_1789412841,-1,1,250,77033.0,4.459356069564819,17274.467164833848,56.06190582228996,308.132,45.55843035048508,42.0,374.0,314.0,227.55000000000004,282.0,294.0,334.0,350.0,354.0,-2.850346620082895,11.279489763889057,2.1855695461224114,0.21738833467683585,0.01790906052034064,0.00681058372316311,0.0,0.02929210662841797,0.005527782440185549,0.016739845275878906,0.0195770263671875,0.02190089225769043,0.024074459075927736,2.552306447780836,0.3802658129171736,0.0,13,3.8461538461538463,0.92,0.9255254241688627,0.08,0.0744745758311373,0.09250049525455765,0.8510508483377254,0.056,0.944,0.0,0.0,0.008,0.0,2,0.05907172995780591,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789412841,0,0,92,28480.0,1.4980511665344238,19011.366658380128,61.41312263240771,309.5652173913044,40.9196732603689,146.0,374.0,314.0,231.45,282.0,294.0,338.0,350.0,350.0,-1.900348372590373,4.878140382057491,2.578334689004494,0.07611156598727452,0.016462100731147514,0.008233560353572925,0.0,0.027403831481933594,4.00543212890625e-05,0.015995383262634277,0.01902484893798828,0.021793007850646973,0.024058103561401367,2.561711636868867,0.5001220904878122,0.0,7,4.142857142857143,0.8478260869565217,0.8535112359550562,0.15217391304347827,0.14648876404494382,0.24952637244598064,0.7070224719101124,0.06521739130434782,0.9347826086956522,0.0,0.0,0.0,0.0,2,0.09523809523809523,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789412841,1,0,81,25111.0,1.4895570278167725,16858.031972636134,54.37858268422312,310.01234567901236,31.773307310708987,158.0,362.0,310.0,278.0,282.0,294.0,330.0,346.0,350.0,-1.8439738380168607,6.681797530601953,2.4003114652986413,-0.1694783408690745,0.018619462847709656,0.005642987878885777,6.9141387939453125e-06,0.02728104591369629,0.015016865730285645,0.01708310842514038,0.019733071327209473,0.021802306175231934,0.02350997924804688,2.421456009214743,0.3030530403587617,0.0,3,3.6666666666666665,0.9506172839506173,0.9512165983035323,0.04938271604938271,0.048783401696467686,0.05956327444891514,0.9024331966070647,0.037037037037037035,0.9629629629629629,0.0,0.0,0.0,0.0,2,0.05128205128205128,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789412841,2,0,78,24102.0,1.4693140983581543,16403.572270171597,53.085994401849824,309.0,53.37506380227977,42.0,362.0,322.0,264.8,282.0,302.0,334.0,346.0,354.0,-3.547850645601117,14.280964892393392,1.9513077336044882,0.26430709365215577,0.019082001277378628,0.005524058583312951,5.9604644775390625e-06,0.02583003044128418,0.014818239212036134,0.018187999725341797,0.02047109603881836,0.02193617820739746,0.023485994338989256,2.394162157075555,0.28947535573774136,0.0,3,3.3333333333333335,0.9743589743589743,0.9725333997178658,0.02564102564102564,0.02746660028213426,2475.4246993701086,0.9450667994357315,0.05128205128205128,0.9487179487179487,0.0,0.0,0.02564102564102564,0.0,2,0.02702702702702703,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789412841,3,0,79,23897.0,1.4772489070892334,16176.691609193047,53.47778537583172,302.49367088607596,59.747755302938245,42.0,358.0,318.0,164.8,278.0,294.0,334.0,346.0,354.0,-2.8082421160813134,8.453395903651689,2.1622451609128888,0.38595826962907304,0.01893908855242607,0.005539859582042051,5.9604644775390625e-06,0.027063846588134766,0.014732027053833007,0.01747971773147583,0.01998758316040039,0.022110044956207275,0.023665904998779297,2.446768374068051,0.2924938585533931,0.0,3,3.3333333333333335,0.9746835443037974,0.987487969201155,0.02531645569620253,0.012512030798845043,2191.91421579526,0.9749759384023099,0.0759493670886076,0.9240506329113924,0.0,0.0,0.02531645569620253,0.0,2,0.02666666666666667,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789412841,4,0,80,24451.0,1.4542560577392578,16813.407700711785,55.01094499435372,305.6375,42.11390618014434,117.0,358.0,310.0,265.6,282.0,293.0,334.0,346.40000000000003,354.0,-2.2595014036955194,6.850263058723609,2.3288661295190987,0.3453023869926894,0.018408304528345035,0.005809479434583094,7.867813110351562e-06,0.02929210662841797,0.01479792594909668,0.016953468322753906,0.01897716522216797,0.021382570266723633,0.02451171875,2.4161102199212188,0.3155729987321447,0.0,3,3.3333333333333335,0.95,0.9630689951331234,0.05,0.03693100486687661,0.05847730842373561,0.9261379902662468,0.05,0.95,0.0,0.0,0.0,0.0,2,0.05194805194805195,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_001_voip_tunnel_aes_gcm_16_256_1789412841,5,0,38,11964.0,0.6955080032348633,17201.814996167523,54.63632312390219,314.8421052631579,22.889352058831417,270.0,358.0,314.0,282.0,286.0,298.0,334.0,347.20000000000005,350.6,0.13759934637659682,-0.9447459299351402,3.409130066577079,-0.17292854059596194,0.01879751360094225,0.005668010348020825,1.0967254638671875e-05,0.02929210662841797,0.014864397048950196,0.01718902587890625,0.01897716522216797,0.02063298225402832,0.025438594818115234,2.168120257170009,0.3015137509455388,0.0,1,4.0,0.9473684210526315,0.9495152123035774,0.05263157894736842,0.0504847876964226,1660.5025826948697,0.8990304246071548,0.0,1.0,0.0,0.0,0.0,0.0,2,0.05555555555555555,voip,tunnel,ikev2,AES_GCM_16_256,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789412851,-1,1,213,62162.0,5.197695970535278,11959.5298286749,40.97969585128783,291.84037558685446,30.80504903207142,250.0,514.0,290.0,254.0,258.0,270.0,310.0,322.0,326.0,3.189087501583202,21.226230617441892,2.017250610428005,0.2976604031436272,0.024517433823279616,0.07926473581337443,4.506111145019531e-05,1.1665921211242676,0.004629874229431153,0.013050317764282227,0.01909196376800537,0.0256841778755188,0.03286116123199464,0.04324154504802915,3.232862930180908,0.22444408594451273,22,3.0,0.9483568075117371,0.9425050674045237,0.051643192488262914,0.057494932595476334,0.05055221038630622,0.8850101348090473,0.0,1.0,0.0,0.0,0.0,0.0,2,0.12380952380952381,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789412851,0,0,23,7286.0,1.4724268913269043,4948.293217759755,15.620469943518303,316.7826086956522,62.62028878173391,254.0,514.0,306.0,256.8,282.0,288.0,318.0,325.2,487.9999999999998,2.431649344422889,5.008676715617366,1.9788086946230645,0.6470997458250941,0.06692849506031383,0.2402697375182596,5.1975250244140625e-05,1.1665921211242676,6.76870346069336e-05,0.0034261345863342285,0.01626908779144287,0.02278238534927368,0.03847360610961917,0.26676498780302604,3.5898931749259337,0.7922920506246472,7,3.0,0.6956521739130435,0.6769146307987922,0.30434782608695654,0.3230853692012078,0.4531684586841877,0.35382926159758443,0.0,1.0,0.0,0.0,0.0,0.0,2,0.3,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789412851,1,0,58,17052.0,1.0292818546295166,16566.890714436773,56.34996841645161,294.0,21.360614739959278,250.0,326.0,296.0,254.0,266.0,278.0,314.0,322.0,322.0,-0.29889225791187424,-1.0196964889630353,3.3771134880253184,-0.10466992146041171,0.018057576397009063,0.010415443790393627,4.506111145019531e-05,0.03972911834716797,0.0013330936431884778,0.013779878616333008,0.019443035125732422,0.02356100082397461,0.032322359085083005,2.8883790915063137,0.5767588519391084,0.0,11,2.909090909090909,0.896551724137931,0.891156462585034,0.10344827586206896,0.10884353741496598,0.11401975891765168,0.782312925170068,0.0,1.0,0.0,0.0,0.0,0.0,2,0.17543859649122806,voip,transport,ikev2,AES_GCM_16_128,PASS,0
