capture_id,window_idx,is_full_session,pkt_count,byte_count,duration_sec,byte_rate,pkt_rate,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_median,pkt_len_q05,pkt_len_q10,pkt_len_q25,pkt_len_q75,pkt_len_q90,pkt_len_q95,pkt_len_skew,pkt_len_kurtosis,pkt_len_entropy,pkt_len_autocorr,iat_mean,iat_std,iat_min,iat_max,iat_q10,iat_q25,iat_q50,iat_q75,iat_q90,iat_entropy,burstiness_coeff,idle_ratio,burst_count,burst_mean_pkts,fwd_pkt_ratio,fwd_byte_ratio,bwd_pkt_ratio,bwd_byte_ratio,fwd_bwd_iat_ratio,fwd_bwd_byte_skew,small_pkt_ratio,med_pkt_ratio,large_pkt_ratio,bimodal_index,tcp_like_ack_ratio,mtu_saturation_ratio,esp_spi_count,seq_gap_rate,label_class,label_mode,label_ike,label_crypto,label_nist,is_mixed
exp_002_voip_transport_aes_gcm_16_128_1789042405,0,0,4,1624.0,0.02833104133605957,57322.28408890086,141.1878918445834,406.0,104.65180361560904,286.0,514.0,412.0,290.8,295.6,310.0,508.0,511.6,512.8,-0.032665979665104164,-1.9508254627003763,1.5,0.5790099088852613,0.00944368044535319,0.00038641811291439417,0.008929967880249023,0.009861946105957031,0.009051799774169922,0.00923454761505127,0.009539127349853516,0.009700536727905273,0.009797382354736327,1.584962500721156,0.04091383664595164,0.0,0,1.0,0.5,0.5073891625615764,0.5,0.49261083743842365,1.0174237735157432,0.014778325123152709,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,1,0,4,1136.0,0.02167487144470215,52410.922154634754,184.54550054448856,284.0,18.439088914585774,258.0,310.0,284.0,261.6,265.2,276.0,292.0,302.8,306.4,0.0,-1.0233910034602076,2.0,0.25581395348837205,0.00722495714823405,0.010002093850031752,0.00010204315185546875,0.02136993408203125,0.00012221336364746094,0.00015246868133544922,0.0002028942108154297,0.01078641414642334,0.017136526107788087,0.9182958340544896,1.3841894775803039,0.0,2,2.5,0.5,0.4753521126760563,0.5,0.5246478873239436,0.9952789529249321,-0.04929577464788732,0.0,1.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,2,0,44,12836.0,0.7561318874359131,16975.874464873606,58.190906548335825,291.72727272727275,28.366404293847033,250.0,358.0,286.0,254.0,258.0,271.0,311.0,328.8,347.0,0.5088419300197149,-0.4582366925545962,3.067782768245969,0.22244680619851773,0.017584462498509607,0.007429840562350804,0.00010204315185546875,0.027691125869750977,0.0002219200134277344,0.017429471015930176,0.019882917404174805,0.021551012992858887,0.022983741760253907,2.171279886490989,0.4224990137723414,0.0,6,2.8333333333333335,0.8636363636363636,0.8463695855406669,0.13636363636363635,0.15363041445933312,0.9856103796396819,0.6927391710813338,0.0,1.0,0.0,0.0,0.0,0.0,2,0.13953488372093023,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,3,0,78,22548.0,1.4740509986877441,15296.62136525336,52.91540121029635,289.0769230769231,27.4967453695371,250.0,358.0,286.0,253.4,254.0,263.0,314.0,326.0,330.0,0.40125589713616455,-0.6553331277393859,3.027592417422776,0.21927486760411904,0.019143519463477195,0.005501983633498818,0.00011587142944335938,0.027691125869750977,0.0161104679107666,0.018304109573364258,0.0203399658203125,0.021786928176879883,0.023009634017944335,2.0269796401943543,0.2873920990284025,0.0,5,2.8,0.9358974358974359,0.9266453787475608,0.0641025641025641,0.07335462125243924,0.08561943360866628,0.8532907574951215,0.0,1.0,0.0,0.0,0.0,0.0,2,0.07792207792207792,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,4,0,77,22254.0,1.4949820041656494,14885.797914617691,51.50563671364978,289.012987012987,22.8663499756219,250.0,330.0,290.0,254.0,256.4,270.0,310.0,319.6,326.0,0.041911226884386775,-1.0769349438997262,3.4073311445296373,0.12942852368418173,0.019670815844284862,0.004179993558078578,0.00011587142944335938,0.030536174774169922,0.01648998260498047,0.018169283866882324,0.020417451858520508,0.02173835039138794,0.023017525672912598,1.9839549048452407,0.21248641158324827,0.0,2,3.0,0.974025974025974,0.9730385548665409,0.025974025974025976,0.026961445133459154,0.020099171473851197,0.9460771097330817,0.0,1.0,0.0,0.0,0.0,0.0,2,0.05263157894736842,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,5,0,79,22558.0,1.4844729900360107,15195.965269433957,53.21753951082909,285.54430379746833,44.55569618455069,42.0,334.0,290.0,254.0,262.0,274.0,310.0,322.0,326.0,-4.0279807531329626,19.739098820968497,1.943069746155394,0.26099252565202613,0.019031705000461675,0.005135780944128844,0.00011682510375976562,0.030536174774169922,0.015590333938598632,0.01815873384475708,0.01991403102874756,0.021370351314544678,0.02322518825531006,2.156894168928178,0.2698397807355426,0.0,2,4.0,0.9746835443037974,0.9709194077489139,0.02531645569620253,0.02908059225108609,0.019517331472203758,0.9418388154978278,0.02531645569620253,0.9746835443037974,0.0,0.0,0.02531645569620253,0.0,2,0.05263157894736842,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,6,0,76,21576.0,1.4717631340026855,14659.967695563048,51.638744200166464,283.89473684210526,45.74286799381046,42.0,334.0,290.0,253.0,254.0,273.0,310.0,322.0,326.0,-3.7787934528045746,17.733821633508597,2.0490155725217445,0.24680593311631668,0.019623508453369142,0.004576380273201401,0.00013399124145507812,0.027314186096191406,0.01658329963684082,0.018463969230651855,0.020398855209350586,0.021919846534729004,0.02325272560119629,2.1543541903746752,0.23319719238194353,0.0,1,5.0,0.9868421052631579,0.9845198368557657,0.013157894736842105,0.015480163144234334,1.0,0.9690396737115313,0.02631578947368421,0.9736842105263158,0.0,0.0,0.02631578947368421,0.0,2,0.0273972602739726,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,7,0,73,21422.0,1.460860013961792,14663.964921528943,49.970564805882404,293.45205479452056,25.404692208109477,250.0,346.0,294.0,250.0,254.8,274.0,318.0,325.2,327.59999999999997,-0.16135780545696474,-1.0736877544372079,3.432641087685704,-0.0913196793004862,0.020289722416136,0.0035850450410010505,6.914138793945312e-05,0.026745080947875977,0.017266011238098143,0.01844930648803711,0.02058732509613037,0.0225447416305542,0.023409485816955566,2.147791321123569,0.176683952767994,0.0,1,3.0,0.9863013698630136,0.9838483801699188,0.0136986301369863,0.016151619830081225,1.0,0.9676967603398375,0.0,1.0,0.0,0.0,0.0,0.0,2,0.027777777777777776,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,8,0,76,22556.0,1.4932348728179932,15105.460239776558,50.896212902244116,296.7894736842105,27.826679638846453,250.0,346.0,306.0,250.0,252.0,273.0,322.0,326.0,330.0,-0.429814398647918,-1.158118339922565,3.332862950688327,-0.10258216791822306,0.01990979830423991,0.004364386791263531,6.914138793945312e-05,0.026745080947875977,0.01662435531616211,0.01825404167175293,0.020027875900268555,0.02293384075164795,0.0238452434539795,2.298058323831931,0.21919697666437388,0.0,2,3.0,0.9736842105263158,0.9702074835963823,0.02631578947368421,0.02979251640361766,0.020325072322981263,0.9404149671927646,0.0,1.0,0.0,0.0,0.0,0.0,2,0.05333333333333334,voip,transport,ikev2,AES_GCM_16_128,PASS,0
exp_002_voip_transport_aes_gcm_16_128_1789042405,9,0,77,22542.0,1.4878780841827393,15150.434864010955,51.75155197093619,292.75324675324674,26.83095510406321,250.0,330.0,294.0,250.0,254.0,266.0,318.0,326.0,330.0,-0.19923832627461052,-1.3589150843710398,3.392795425054439,0.07121520413680003,0.01957734321293078,0.004102743949055207,0.00010919570922851562,0.026276111602783203,0.016210436820983887,0.018392324447631836,0.019870877265930176,0.02187371253967285,0.02312302589416504,2.1176439101282774,0.20955521641614158,0.0,2,3.0,0.974025974025974,0.9708987667465176,0.025974025974025976,0.02910123325348239,0.020220338643332458,0.9417975334930352,0.0,1.0,0.0,0.0,0.0,0.0,2,0.039473684210526314,voip,transport,ikev2,AES_GCM_16_128,PASS,0
